pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
13,OTHER-SO,0.2054,1.0357,0.7500,0.7143,0.3929,0.3036,0.3214,0.1429,0.6875,0.4375,0.5357,0.5000,0.8750,0.6518,0.5982,0.7500,0.6607,0.5804,0.2768,10.4196
14,OTHER-SR,0.2597,0.7273,0.6234,0.5844,0.2338,0.1948,0.2338,0.1169,0.5325,0.2468,0.2597,0.3117,0.8701,0.4416,0.5065,0.4805,0.4805,0.5195,0.3896,8.0130
15,SO-FR,0.1493,0.8333,0.7812,0.7951,0.5104,0.5035,0.5382,0.2118,0.7569,0.6736,0.9201,0.6875,0.9236,0.7153,1.0139,1.1319,1.0382,0.7847,0.2083,13.1771
16,SO-JR,0.1667,0.5312,0.5625,0.6042,0.4062,0.4792,0.4583,0.1667,0.5521,0.6562,0.8021,0.9375,0.9792,0.8958,0.9583,0.8021,0.7604,0.5417,0.2812,11.5417
17,SO-OTHER,0.2054,1.0357,0.7500,0.7143,0.3929,0.3036,0.3214,0.1429,0.6875,0.4375,0.5357,0.5000,0.8750,0.6518,0.5982,0.7500,0.6607,0.5804,0.2768,10.4196
18,SO-SO,0.1719,1.0156,0.7891,0.7344,0.6016,0.6562,0.7578,0.3906,0.9609,0.7734,1.1094,0.9297,1.0000,0.9609,1.1094,1.2578,1.1641,1.0781,0.4219,15.8828
19,SO-SR,0.2557,0.7159,0.7216,0.6250,0.4318,0.3125,0.4318,0.1818,0.5511,0.5739,0.6591,0.5568,0.9943,0.7443,0.9773,1.1477,1.0909,0.9318,0.3182,12.2216
20,SR-FR,0.2121,0.5404,0.6364,0.7677,0.3586,0.3131,0.3283,0.1212,0.4192,0.4747,0.4444,0.3131,0.7121,0.4949,0.7626,0.8990,0.8485,0.6212,0.2323,9.5000
21,SR-JR,0.1212,0.2879,0.5152,0.4697,0.4697,0.2576,0.3333,0.1061,0.3788,0.4848,0.4545,0.5303,0.8788,0.7576,0.8636,0.7273,0.6667,0.4545,0.3030,9.0606
22,SR-OTHER,0.2597,0.7273,0.6234,0.5844,0.2338,0.1948,0.2338,0.1169,0.5325,0.2468,0.2597,0.3117,0.8701,0.4416,0.5065,0.4805,0.4805,0.5195,0.3896,8.0130
23,SR-SO,0.2557,0.7159,0.7216,0.6250,0.4318,0.3125,0.4318,0.1818,0.5511,0.5739,0.6591,0.5568,0.9943,0.7443,0.9773,1.1477,1.0909,0.9318,0.3182,12.2216
24,SR-SR,0.1983,0.3636,0.4793,0.4793,0.2975,0.1322,0.2149,0.0661,0.4463,0.3140,0.2975,0.2149,0.7769,0.5620,0.8264,0.8099,0.9091,0.5950,0.4298,8.4132
